,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-13.885729999999999,2024-01-23 22:46:24.715947,2024-01-23 22:51:42.026395,0 days 00:05:17.310448,100,0.95,0.00018862815022713567,COMPLETE
1,1,-9.806541,2024-01-23 22:51:42.036537,2024-01-23 22:56:57.732587,0 days 00:05:15.696050,64,0.999,0.0009790775919020912,COMPLETE
2,2,-18.020225,2024-01-23 22:56:57.732587,2024-01-23 23:02:11.957587,0 days 00:05:14.225000,128,0.98,1.2236603215780854e-05,COMPLETE
3,3,-18.014279400000003,2024-01-23 23:02:11.957587,2024-01-23 23:07:28.725761,0 days 00:05:16.768174,16,0.9,0.0001961332833193768,COMPLETE
4,4,-13.897533599999997,2024-01-23 23:07:28.726761,2024-01-23 23:12:43.449091,0 days 00:05:14.722330,100,0.98,6.909274133754259e-05,COMPLETE
5,5,-19.691477999999996,2024-01-23 23:12:43.450092,2024-01-23 23:15:31.923777,0 days 00:02:48.473685,64,0.999,0.008207165215179996,PRUNED
6,6,-18.017110199999998,2024-01-23 23:15:31.924777,2024-01-23 23:18:24.869625,0 days 00:02:52.944848,64,0.999,0.004703309088362888,PRUNED
7,7,-18.0146035,2024-01-23 23:18:24.869625,2024-01-23 23:21:12.776536,0 days 00:02:47.906911,256,0.99,0.0014893422537818298,PRUNED
8,8,-18.017298,2024-01-23 23:21:12.776536,2024-01-23 23:24:02.928477,0 days 00:02:50.151941,32,0.995,0.00089134819587865,PRUNED
9,9,-18.023622299999996,2024-01-23 23:24:02.928477,2024-01-23 23:26:51.564559,0 days 00:02:48.636082,512,0.9999,0.0010868889018532796,PRUNED
10,10,-19.691477999999996,2024-01-23 23:26:51.564559,2024-01-23 23:29:40.112279,0 days 00:02:48.547720,64,0.999,3.4519768212301836e-05,PRUNED
11,11,-19.691477999999996,2024-01-23 23:29:40.112279,2024-01-23 23:32:26.736474,0 days 00:02:46.624195,100,0.95,0.000330822293760515,PRUNED
12,12,-19.691477999999996,2024-01-23 23:32:26.736474,2024-01-23 23:35:13.146822,0 days 00:02:46.410348,100,0.95,0.00020354884308092483,PRUNED
13,13,-19.691477999999996,2024-01-23 23:35:13.157325,2024-01-23 23:38:06.978973,0 days 00:02:53.821648,32,0.95,0.0003840952183919329,PRUNED
14,14,-18.020034199999998,2024-01-23 23:38:06.978973,2024-01-23 23:40:51.879772,0 days 00:02:44.900799,256,0.9,8.842142625931323e-05,PRUNED
15,15,-13.9273123,2024-01-23 23:40:51.880774,2024-01-23 23:43:37.073967,0 days 00:02:45.193193,128,0.995,0.0029794375628601896,PRUNED
16,16,-5.571557799999999,2024-01-23 23:43:37.074966,2024-01-23 23:48:45.050693,0 days 00:05:07.975727,16,0.99,0.0005889331642696884,COMPLETE
17,17,-18.017865399999998,2024-01-23 23:48:45.060779,2024-01-23 23:51:31.040090,0 days 00:02:45.979311,16,0.99,0.0008077597844936229,PRUNED
18,18,-18.015356500000003,2024-01-23 23:51:31.040090,2024-01-23 23:54:16.122005,0 days 00:02:45.081915,16,0.99,0.0017141498477937563,PRUNED
19,19,-18.9211812,2024-01-23 23:54:16.123002,2024-01-23 23:57:01.505489,0 days 00:02:45.382487,512,0.9999,0.0005590203332064457,PRUNED
20,20,-18.0113401,2024-01-23 23:57:01.506489,2024-01-23 23:59:46.270337,0 days 00:02:44.763848,16,0.999,0.002941807999643498,PRUNED
21,21,-18.013077699999997,2024-01-23 23:59:46.271336,2024-01-24 00:02:31.401705,0 days 00:02:45.130369,64,0.95,0.00014528389577522975,PRUNED
22,22,-18.013890000000004,2024-01-24 00:02:31.402706,2024-01-24 00:05:15.587326,0 days 00:02:44.184620,100,0.99,0.0005125221392878813,PRUNED
23,23,-18.008711299999998,2024-01-24 00:05:15.587326,2024-01-24 00:08:01.158813,0 days 00:02:45.571487,100,0.99,6.478706019302259e-05,PRUNED
24,24,-19.691477999999996,2024-01-24 00:08:01.158813,2024-01-24 00:10:45.759717,0 days 00:02:44.600904,64,0.999,0.00024696773011213775,PRUNED
25,25,-18.0196876,2024-01-24 00:10:45.760719,2024-01-24 00:13:32.202378,0 days 00:02:46.441659,16,0.95,0.0005885324189299505,PRUNED
26,26,-18.0175809,2024-01-24 00:13:32.203378,2024-01-24 00:16:17.331059,0 days 00:02:45.127681,128,0.98,0.00012541625646823225,PRUNED
27,27,-11.9418531,2024-01-24 00:16:17.332060,2024-01-24 00:21:24.841099,0 days 00:05:07.509039,32,0.9,0.0018329984325358172,COMPLETE
28,28,-16.0850569,2024-01-24 00:21:24.841099,2024-01-24 00:24:10.413752,0 days 00:02:45.572653,32,0.9,0.0027824368782846205,PRUNED
29,29,-18.023477099999997,2024-01-24 00:24:10.414754,2024-01-24 00:26:54.802638,0 days 00:02:44.387884,32,0.9,0.0017004127196751765,PRUNED
30,30,-18.017511499999998,2024-01-24 00:26:54.802638,2024-01-24 00:29:39.230825,0 days 00:02:44.428187,32,0.9,0.009768290842186831,PRUNED
31,31,-18.0089121,2024-01-24 00:29:39.231825,2024-01-24 00:32:24.698618,0 days 00:02:45.466793,256,0.9999,2.787793221826692e-05,PRUNED
32,32,-18.0145443,2024-01-24 00:32:24.698618,2024-01-24 00:35:09.435394,0 days 00:02:44.736776,16,0.9,0.0010968198625769462,PRUNED
33,33,-9.7040811,2024-01-24 00:35:09.436393,2024-01-24 00:40:17.329831,0 days 00:05:07.893438,100,0.98,0.0003995232288343494,COMPLETE
34,34,-19.587305499999996,2024-01-24 00:40:17.340180,2024-01-24 00:43:02.288949,0 days 00:02:44.948769,512,0.98,0.00044850282809649744,PRUNED
35,35,-19.691477999999996,2024-01-24 00:43:02.288949,2024-01-24 00:45:47.658902,0 days 00:02:45.369953,100,0.98,0.004786413503378893,PRUNED
36,36,-18.0134631,2024-01-24 00:45:47.659901,2024-01-24 00:48:32.361524,0 days 00:02:44.701623,64,0.98,0.0006639326255788876,PRUNED
37,37,-19.691477999999996,2024-01-24 00:48:32.361524,2024-01-24 00:51:17.887613,0 days 00:02:45.526089,128,0.999,0.0002752277632776857,PRUNED
38,38,-19.691477999999996,2024-01-24 00:51:17.887613,2024-01-24 00:54:02.850481,0 days 00:02:44.962868,32,0.995,0.0020100228937420116,PRUNED
39,39,-19.691477999999996,2024-01-24 00:54:02.851481,2024-01-24 00:56:47.959598,0 days 00:02:45.108117,64,0.98,0.005546344029162209,PRUNED
40,40,-1.4070243,2024-01-24 00:56:47.960595,2024-01-24 01:01:54.946390,0 days 00:05:06.985795,16,0.99,0.0011738754229078659,COMPLETE
41,41,-18.012292999999996,2024-01-24 01:01:54.947390,2024-01-24 01:04:40.029397,0 days 00:02:45.082007,16,0.99,0.00112504665800565,PRUNED
42,42,-18.013996299999995,2024-01-24 01:04:40.030398,2024-01-24 01:07:25.312406,0 days 00:02:45.282008,16,0.99,0.0012598430333694613,PRUNED
43,43,-18.016930199999997,2024-01-24 01:07:25.313410,2024-01-24 01:10:10.574558,0 days 00:02:45.261148,16,0.99,0.0008004810130881579,PRUNED
44,44,-13.9268076,2024-01-24 01:10:10.583833,2024-01-24 01:12:55.228629,0 days 00:02:44.644796,100,0.999,0.002170465263680586,PRUNED
45,45,-18.018485399999996,2024-01-24 01:12:55.229630,2024-01-24 01:15:40.146115,0 days 00:02:44.916485,16,0.99,0.00035691751168319294,PRUNED
46,46,-18.0103841,2024-01-24 01:15:40.147117,2024-01-24 01:18:24.811495,0 days 00:02:44.664378,256,0.9,0.0009319448856738741,PRUNED
47,47,-18.0228933,2024-01-24 01:18:24.811495,2024-01-24 01:21:09.392749,0 days 00:02:44.581254,64,0.999,0.0006621883441645381,PRUNED
48,48,-18.0120468,2024-01-24 01:21:09.393748,2024-01-24 01:23:55.091495,0 days 00:02:45.697747,32,0.98,0.0012892886584256911,PRUNED
49,49,-16.039938600000003,2024-01-24 01:23:55.092496,2024-01-24 01:26:40.083695,0 days 00:02:44.991199,512,0.99,0.00236960058681778,PRUNED
50,50,-18.010793099999997,2024-01-24 01:26:40.084695,2024-01-24 01:29:25.136098,0 days 00:02:45.051403,100,0.995,0.003723616953707014,PRUNED
51,51,-18.0164351,2024-01-24 01:29:25.137099,2024-01-24 01:32:10.808473,0 days 00:02:45.671374,100,0.95,0.00018558921120862055,PRUNED
52,52,-14.006608099999998,2024-01-24 01:32:10.809472,2024-01-24 01:34:55.673493,0 days 00:02:44.864021,100,0.95,0.00035831879292719173,PRUNED
53,53,-19.691477999999996,2024-01-24 01:34:55.673493,2024-01-24 01:37:41.345171,0 days 00:02:45.671678,100,0.9999,0.00022680379879819518,PRUNED
54,54,-18.0197767,2024-01-24 01:37:41.346167,2024-01-24 01:40:26.749950,0 days 00:02:45.403783,16,0.95,0.0004296561829894155,PRUNED
55,55,-18.0159293,2024-01-24 01:40:26.750949,2024-01-24 01:43:11.363955,0 days 00:02:44.613006,64,0.99,8.625663125256949e-05,PRUNED
56,56,-19.691477999999996,2024-01-24 01:43:11.364959,2024-01-24 01:45:56.032793,0 days 00:02:44.667834,128,0.9,0.00016036627114273145,PRUNED
57,57,-19.691477999999996,2024-01-24 01:45:56.033794,2024-01-24 01:48:41.303337,0 days 00:02:45.269543,100,0.999,0.001529417022476575,PRUNED
58,58,-11.8139103,2024-01-24 01:48:41.304337,2024-01-24 01:53:49.588537,0 days 00:05:08.284200,32,0.95,0.000744317803711616,COMPLETE
59,59,-18.017046,2024-01-24 01:53:49.589538,2024-01-24 01:56:34.218253,0 days 00:02:44.628715,32,0.99,0.0007758247340666119,PRUNED
60,60,-19.691477999999996,2024-01-24 01:56:34.219254,2024-01-24 01:59:19.869398,0 days 00:02:45.650144,32,0.95,0.0005270572952579251,PRUNED
61,61,-19.691477999999996,2024-01-24 01:59:19.870397,2024-01-24 02:02:05.387012,0 days 00:02:45.516615,32,0.95,0.000274244183011107,PRUNED
62,62,-9.7060841,2024-01-24 02:02:05.388014,2024-01-24 02:07:13.478093,0 days 00:05:08.090079,32,0.95,0.0009241999081791698,COMPLETE
63,63,-18.0200425,2024-01-24 02:07:13.479092,2024-01-24 02:09:58.258187,0 days 00:02:44.779095,32,0.95,0.000959431275737416,PRUNED
64,64,-19.691477999999996,2024-01-24 02:09:58.258187,2024-01-24 02:12:42.755589,0 days 00:02:44.497402,32,0.95,0.0014387172852568047,PRUNED
65,65,-18.014503400000002,2024-01-24 02:12:42.756590,2024-01-24 02:15:27.227062,0 days 00:02:44.470472,32,0.995,0.0007253396154693143,PRUNED
66,66,-18.009308299999997,2024-01-24 02:15:27.228061,2024-01-24 02:18:12.702625,0 days 00:02:45.474564,32,0.9999,0.0018080739084811012,PRUNED
67,67,-18.0140633,2024-01-24 02:18:12.703626,2024-01-24 02:20:57.584767,0 days 00:02:44.881141,16,0.98,0.0005418603441068197,PRUNED
68,68,-14.006867599999998,2024-01-24 02:20:57.585766,2024-01-24 02:23:43.088260,0 days 00:02:45.502494,256,0.9,0.0009491273516231317,PRUNED
69,69,-18.0112554,2024-01-24 02:23:43.089262,2024-01-24 02:26:28.540851,0 days 00:02:45.451589,512,0.999,0.00043614797817847936,PRUNED
70,70,-18.012777999999997,2024-01-24 02:26:28.541851,2024-01-24 02:29:14.023691,0 days 00:02:45.481840,64,0.95,1.2332048782559274e-05,PRUNED
71,71,-9.7598176,2024-01-24 02:29:14.024694,2024-01-24 02:34:22.344958,0 days 00:05:08.320264,32,0.95,0.00030980120770431426,COMPLETE
72,72,-18.0184189,2024-01-24 02:34:22.345959,2024-01-24 02:37:06.950096,0 days 00:02:44.604137,32,0.95,0.00032350437514880857,PRUNED
73,73,-11.846802899999998,2024-01-24 02:37:06.951098,2024-01-24 02:39:54.947807,0 days 00:02:47.996709,32,0.95,0.0006364390551855852,PRUNED
74,74,-19.2072389,2024-01-24 02:39:54.948808,2024-01-24 02:42:40.427066,0 days 00:02:45.478258,32,0.99,0.0012883501432694963,PRUNED
75,75,-18.0177232,2024-01-24 02:42:40.427066,2024-01-24 02:45:25.735781,0 days 00:02:45.308715,16,0.95,0.00047694172078150917,PRUNED
76,76,-18.0270832,2024-01-24 02:45:25.736781,2024-01-24 02:48:11.028246,0 days 00:02:45.291465,32,0.98,0.0010323028683116556,PRUNED
77,77,-18.0108855,2024-01-24 02:48:11.028246,2024-01-24 02:50:55.847668,0 days 00:02:44.819422,32,0.9,0.000862406875383435,PRUNED
78,78,-19.691477999999996,2024-01-24 02:50:55.848670,2024-01-24 02:53:40.982378,0 days 00:02:45.133708,128,0.999,0.0025878290172989906,PRUNED
79,79,-19.691477999999996,2024-01-24 02:53:40.982378,2024-01-24 02:56:26.119880,0 days 00:02:45.137502,16,0.99,0.00027654468567477823,PRUNED
80,80,-11.914707799999999,2024-01-24 02:56:26.120880,2024-01-24 02:59:11.370758,0 days 00:02:45.249878,64,0.95,0.0035909073238599327,PRUNED
81,81,-18.0100166,2024-01-24 02:59:11.370758,2024-01-24 03:01:56.130864,0 days 00:02:44.760106,100,0.95,0.0001321469131324122,PRUNED
82,82,-18.0241131,2024-01-24 03:01:56.131864,2024-01-24 03:04:41.357952,0 days 00:02:45.226088,100,0.95,0.00037815455745774035,PRUNED
83,83,-18.012488700000002,2024-01-24 03:04:41.358951,2024-01-24 03:07:26.359482,0 days 00:02:45.000531,256,0.95,0.0001988019474163138,PRUNED
84,84,-1.3525949000000002,2024-01-24 03:07:26.359482,2024-01-24 03:12:35.610600,0 days 00:05:09.251118,16,0.98,0.0006555796514417295,COMPLETE
85,85,-19.691477999999996,2024-01-24 03:12:35.611602,2024-01-24 03:15:20.884722,0 days 00:02:45.273120,16,0.98,0.00060947619029461,PRUNED
86,86,-18.0195388,2024-01-24 03:15:20.885723,2024-01-24 03:18:05.317947,0 days 00:02:44.432224,16,0.98,0.0011372055820890073,PRUNED
87,87,-3.5627005000000005,2024-01-24 03:18:05.318949,2024-01-24 03:23:14.453281,0 days 00:05:09.134332,16,0.98,0.0007130737006558914,COMPLETE
88,88,-5.5184507,2024-01-24 03:23:14.454282,2024-01-24 03:28:23.225010,0 days 00:05:08.770728,16,0.98,0.0007465734063249448,COMPLETE
89,89,-19.6831681,2024-01-24 03:28:23.225010,2024-01-24 03:31:07.855898,0 days 00:02:44.630888,16,0.98,0.0004382812433147876,PRUNED
90,90,-19.691477999999996,2024-01-24 03:31:07.856899,2024-01-24 03:33:52.902319,0 days 00:02:45.045420,16,0.98,0.000581003991033742,PRUNED
91,91,-19.691477999999996,2024-01-24 03:33:52.902319,2024-01-24 03:36:38.349771,0 days 00:02:45.447452,16,0.98,0.0007358797959537231,PRUNED
92,92,-18.0119752,2024-01-24 03:36:38.350767,2024-01-24 03:39:23.505901,0 days 00:02:45.155134,16,0.98,0.0007704079615356816,PRUNED
93,93,-18.019038000000002,2024-01-24 03:39:23.506900,2024-01-24 03:42:08.377297,0 days 00:02:44.870397,16,0.98,0.0006761302080960857,PRUNED
94,94,-16.0653065,2024-01-24 03:42:08.378296,2024-01-24 03:44:53.458361,0 days 00:02:45.080065,16,0.98,0.0008950116022577396,PRUNED
95,95,-18.0140104,2024-01-24 03:44:53.459361,2024-01-24 03:47:38.559170,0 days 00:02:45.099809,16,0.98,0.001551174000259706,PRUNED
96,96,-18.0119477,2024-01-24 03:47:38.559170,2024-01-24 03:50:23.932696,0 days 00:02:45.373526,16,0.99,0.0004954420577825209,PRUNED
97,97,-18.015639299999997,2024-01-24 03:50:23.933697,2024-01-24 03:53:09.174208,0 days 00:02:45.240511,64,0.98,0.0011919499634110132,PRUNED
98,98,-19.691477999999996,2024-01-24 03:53:09.175209,2024-01-24 03:55:54.615156,0 days 00:02:45.439947,16,0.9999,0.0003113677124017703,PRUNED
99,99,-18.0118246,2024-01-24 03:55:54.615156,2024-01-24 03:58:39.544012,0 days 00:02:44.928856,512,0.999,0.00041425130663511094,PRUNED
