   ,number ,value                 ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_clip_range ,params_ent_coef        ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_max_grad_norm ,params_n_epochs ,params_n_steps ,params_net_arch ,params_vf_coef        ,state
 0 ,     0 ,-17.0836124           ,2024-01-26 23:58:25.265846 ,2024-01-27 00:05:58.384680 ,0 days 00:07:33.118834 ,tanh                 ,               64 ,              0.2 ,8.014124546408527e-05  ,             0.99 ,      0.9    ,4.193892657511447e-05  ,                 0.9 ,              5 ,             8 ,tiny            ,0.3643979832041371    ,COMPLETE
 1 ,     1 ,-16.9292573           ,2024-01-27 00:05:58.396871 ,2024-01-27 00:16:05.989144 ,0 days 00:10:07.592273 ,relu                 ,                8 ,              0.1 ,5.404447255119167e-06  ,             0.92 ,      0.999  ,0.035887775819097974   ,                 0.6 ,             10 ,           128 ,medium          ,0.2072473328255614    ,COMPLETE
 2 ,     2 ,-16.9297191           ,2024-01-27 00:16:05.990145 ,2024-01-27 00:21:36.390958 ,0 days 00:05:30.400813 ,tanh                 ,              128 ,              0.2 ,0.00026828111010991266 ,             0.8  ,      0.995  ,0.06300135363925762    ,                 0.6 ,              1 ,          1024 ,tiny            ,0.6622339845591115    ,COMPLETE
 3 ,     3 ,-12.894142299999999   ,2024-01-27 00:21:36.393472 ,2024-01-27 00:27:39.862161 ,0 days 00:06:03.468689 ,relu                 ,               32 ,              0.4 ,0.017700596626651466   ,             0.92 ,      0.999  ,2.241398162111038e-05  ,                 2.0 ,              5 ,           128 ,medium          ,0.41182612239620653   ,COMPLETE
 4 ,     4 ,-10.502746400000001   ,2024-01-27 00:27:39.863161 ,2024-01-27 00:34:16.414869 ,0 days 00:06:36.551708 ,relu                 ,               16 ,              0.2 ,0.005779715771977955   ,             0.95 ,      0.9999 ,2.356455064383313e-05  ,                 0.3 ,              5 ,           256 ,small           ,0.7178231748106358    ,COMPLETE
 5 ,     5 ,-1.9270937000000004   ,2024-01-27 00:34:16.416879 ,2024-01-27 00:43:59.921895 ,0 days 00:09:43.505016 ,relu                 ,               16 ,              0.3 ,2.7661808312382507e-08 ,             0.95 ,      0.9999 ,0.0006435008896390767  ,                 0.5 ,             20 ,           256 ,small           ,0.9999553467450556    ,COMPLETE
 6 ,     6 ,1.4598798             ,2024-01-27 00:43:59.923893 ,2024-01-27 00:53:45.600237 ,0 days 00:09:45.676344 ,relu                 ,               16 ,              0.3 ,1.0708555332563216e-08 ,             0.95 ,      0.9999 ,0.001510457625265399   ,                 0.5 ,             20 ,           256 ,small           ,0.986424556040175     ,COMPLETE
 7 ,     7 ,2.2329114             ,2024-01-27 00:53:45.602748 ,2024-01-27 01:01:28.653283 ,0 days 00:07:43.050535 ,relu                 ,              256 ,              0.3 ,1.1795818853696102e-08 ,             0.98 ,      0.99   ,0.0017962238256572808  ,                 0.7 ,             20 ,            32 ,small           ,0.9679027234651829    ,COMPLETE
 8 ,     8 ,-10.5805811           ,2024-01-27 01:01:28.655282 ,2024-01-27 01:09:14.090537 ,0 days 00:07:45.435255 ,tanh                 ,              256 ,              0.3 ,6.055368048353816e-07  ,             0.98 ,      0.99   ,0.9074648919882286     ,                 0.7 ,             20 ,            32 ,small           ,0.03352433548898981   ,COMPLETE
 9 ,     9 ,-19.656694000000005   ,2024-01-27 01:09:14.092042 ,2024-01-27 01:12:09.519762 ,0 days 00:02:55.427720 ,relu                 ,              256 ,              0.1 ,5.847711138180173e-07  ,             0.98 ,      0.99   ,0.012649259863526318   ,                 0.7 ,              1 ,          2048 ,small           ,0.6899618070312246    ,PRUNED
10 ,    10 ,-19.656694000000005   ,2024-01-27 01:12:09.520767 ,2024-01-27 01:15:36.917326 ,0 days 00:03:27.396559 ,tanh                 ,              512 ,              0.4 ,1.5429779060799213e-07 ,             1.0  ,      0.95   ,0.0002118444890119544  ,                 0.8 ,             10 ,            32 ,tiny            ,0.8324303928713408    ,PRUNED
11 ,    11 ,1.7529618999999996    ,2024-01-27 01:15:36.917326 ,2024-01-27 01:25:23.402615 ,0 days 00:09:46.485289 ,relu                 ,               16 ,              0.3 ,1.0891064697026824e-08 ,             0.9  ,      0.98   ,0.0020268481255803065  ,                 0.5 ,             20 ,            64 ,small           ,0.9919427898639072    ,COMPLETE
12 ,    12 ,2.3460188             ,2024-01-27 01:25:23.403615 ,2024-01-27 01:31:59.499698 ,0 days 00:06:36.096083 ,relu                 ,              256 ,              0.3 ,1.3341821142037155e-08 ,             0.9  ,      0.98   ,0.00522016548115875    ,                 1.0 ,             20 ,            64 ,small           ,0.8277341573349112    ,COMPLETE
13 ,    13 ,-1.8919530000000002   ,2024-01-27 01:31:59.501698 ,2024-01-27 01:38:34.653552 ,0 days 00:06:35.151854 ,relu                 ,              256 ,              0.3 ,3.016891794875613e-06  ,             0.9  ,      0.98   ,0.00949733786671309    ,                 1.0 ,             20 ,            64 ,small           ,0.8224711252268737    ,COMPLETE
14 ,    14 ,-2.5151127000000004   ,2024-01-27 01:38:34.654552 ,2024-01-27 01:44:21.948966 ,0 days 00:05:47.294414 ,relu                 ,              256 ,              0.3 ,9.912650810570606e-08  ,             0.98 ,      0.98   ,0.0002519466367716043  ,                 1.0 ,             20 ,           512 ,small           ,0.5520626320860936    ,COMPLETE
15 ,    15 ,-16.925088199999998   ,2024-01-27 01:44:21.951061 ,2024-01-27 01:49:34.225535 ,0 days 00:05:12.274474 ,relu                 ,              256 ,              0.3 ,1.0898099345714028e-05 ,             0.9  ,      0.99   ,0.30258233613455143    ,                 5.0 ,             20 ,            16 ,medium          ,0.8330585294487289    ,PRUNED
16 ,    16 ,0.30036079999999943   ,2024-01-27 01:49:34.226540 ,2024-01-27 01:56:17.420829 ,0 days 00:06:43.194289 ,relu                 ,               64 ,              0.3 ,0.0009596814005236477  ,             1.0  ,      0.995  ,0.00465782025386401    ,                 0.7 ,             20 ,            64 ,small           ,0.8279390351032213    ,COMPLETE
17 ,    17 ,-8.3464427            ,2024-01-27 01:56:17.422200 ,2024-01-27 02:01:34.900517 ,0 days 00:05:17.478317 ,relu                 ,                8 ,              0.1 ,1.0737515327084958e-07 ,             0.8  ,      0.9    ,0.05156456322651264    ,                 1.0 ,             10 ,            32 ,small           ,0.5716738569069895    ,PRUNED
18 ,    18 ,-8.5874846            ,2024-01-27 02:01:34.910169 ,2024-01-27 02:04:51.277678 ,0 days 00:03:16.367509 ,tanh                 ,              512 ,              0.4 ,0.08174677877253415    ,             0.99 ,      0.95   ,0.00018890781314491117 ,                 5.0 ,              1 ,             8 ,medium          ,0.8873407177075472    ,PRUNED
19 ,    19 ,-2.1191319            ,2024-01-27 02:04:51.277678 ,2024-01-27 02:10:54.655253 ,0 days 00:06:03.377575 ,relu                 ,              128 ,              0.3 ,9.555288800488363e-07  ,             0.98 ,      0.98   ,0.0009359229836461812  ,                 0.3 ,             20 ,          1024 ,tiny            ,0.720473060873343     ,COMPLETE
20 ,    20 ,-19.656694000000005   ,2024-01-27 02:10:54.655253 ,2024-01-27 02:13:58.564466 ,0 days 00:03:03.909213 ,relu                 ,              256 ,              0.3 ,3.6308284994474585e-05 ,             0.9  ,      0.99   ,0.006537367794868253   ,                 0.9 ,             20 ,          2048 ,small           ,0.9067442029592361    ,PRUNED
21 ,    21 ,4.5981429             ,2024-01-27 02:13:58.565465 ,2024-01-27 02:21:42.422370 ,0 days 00:07:43.856905 ,relu                 ,               32 ,              0.3 ,2.1615889128092995e-08 ,             0.9  ,      0.98   ,0.0020174867402437706  ,                 0.5 ,             20 ,            64 ,small           ,0.9449561766071425    ,COMPLETE
22 ,    22 ,-2.4695365999999996   ,2024-01-27 02:21:42.423369 ,2024-01-27 02:25:43.900764 ,0 days 00:04:01.477395 ,relu                 ,               32 ,              0.3 ,4.557745560111198e-08  ,             0.9  ,      0.98   ,0.0005047562617670366  ,                 2.0 ,             20 ,            64 ,small           ,0.9348751735418612    ,PRUNED
23 ,    23 ,-8.347078             ,2024-01-27 02:25:43.901764 ,2024-01-27 02:29:46.089136 ,0 days 00:04:02.187372 ,relu                 ,               32 ,              0.3 ,3.138120040603256e-08  ,             0.9  ,      0.98   ,0.019586428776830173   ,                 1.0 ,             20 ,            64 ,small           ,0.7483295399301744    ,PRUNED
24 ,    24 ,2.1849217             ,2024-01-27 02:29:46.090141 ,2024-01-27 02:39:49.250887 ,0 days 00:10:03.160746 ,relu                 ,               32 ,              0.3 ,2.632396212689967e-07  ,             0.9  ,      0.98   ,0.003986460041762639   ,                 0.8 ,             20 ,            16 ,small           ,0.9039068703217261    ,COMPLETE
25 ,    25 ,3.6980881000000005    ,2024-01-27 02:39:49.251885 ,2024-01-27 02:45:39.373710 ,0 days 00:05:50.121825 ,relu                 ,              256 ,              0.3 ,3.122613308324642e-08  ,             0.98 ,      0.99   ,0.0022690990276469187  ,                 0.5 ,             20 ,           512 ,small           ,0.6171109247250259    ,COMPLETE
26 ,    26 ,-4.5616799000000015   ,2024-01-27 02:45:39.384051 ,2024-01-27 02:48:41.673040 ,0 days 00:03:02.288989 ,tanh                 ,               32 ,              0.1 ,1.4481194462871543e-06 ,             0.9  ,      0.98   ,7.539969419448171e-05  ,                 0.5 ,              1 ,           512 ,small           ,0.6110930803203543    ,PRUNED
27 ,    27 ,-6.2338333            ,2024-01-27 02:48:41.674045 ,2024-01-27 02:51:43.058232 ,0 days 00:03:01.384187 ,relu                 ,              256 ,              0.2 ,6.160058278631007e-08  ,             0.92 ,      0.995  ,0.15891068256986826    ,                 0.5 ,              5 ,           512 ,small           ,0.48244564454800265   ,PRUNED
28 ,    28 ,4.6131201             ,2024-01-27 02:51:43.059235 ,2024-01-27 02:57:30.424725 ,0 days 00:05:47.365490 ,relu                 ,              512 ,              0.4 ,1.5897359457088053e-07 ,             1.0  ,      0.95   ,0.004080108226250051   ,                 0.5 ,             10 ,            64 ,tiny            ,0.7832737668041073    ,COMPLETE
29 ,    29 ,-10.6177948           ,2024-01-27 02:57:30.425727 ,2024-01-27 03:00:19.236248 ,0 days 00:02:48.810521 ,tanh                 ,              512 ,              0.4 ,3.584794926832945e-07  ,             1.0  ,      0.95   ,8.56709103963511e-05   ,                 0.5 ,             10 ,           512 ,tiny            ,0.29450258595348433   ,PRUNED
30 ,    30 ,-1.8952705            ,2024-01-27 03:00:19.237250 ,2024-01-27 03:05:06.185331 ,0 days 00:04:46.948081 ,relu                 ,               64 ,              0.4 ,0.000176397579886242   ,             0.99 ,      0.9    ,0.0005592862247701819  ,                 0.5 ,             10 ,             8 ,tiny            ,0.48135172089284173   ,PRUNED
31 ,    31 ,3.1012994999999997    ,2024-01-27 03:05:06.185331 ,2024-01-27 03:10:49.095100 ,0 days 00:05:42.909769 ,relu                 ,              512 ,              0.4 ,2.499603165300787e-08  ,             1.0  ,      0.95   ,0.0030183366763537906  ,                 0.9 ,             10 ,            64 ,tiny            ,0.7935894622206857    ,COMPLETE
32 ,    32 ,4.621493200000001     ,2024-01-27 03:10:49.096100 ,2024-01-27 03:16:32.462987 ,0 days 00:05:43.366887 ,relu                 ,              512 ,              0.4 ,5.080729487499266e-08  ,             1.0  ,      0.95   ,0.020722780861632963   ,                 0.9 ,             10 ,            64 ,tiny            ,0.7667889211979797    ,COMPLETE
33 ,    33 ,1.6006520000000002    ,2024-01-27 03:16:32.463987 ,2024-01-27 03:22:13.558878 ,0 days 00:05:41.094891 ,relu                 ,              512 ,              0.4 ,1.9735557094724725e-07 ,             1.0  ,      0.95   ,0.016578425839136678   ,                 0.9 ,             10 ,            64 ,tiny            ,0.6359509263424796    ,COMPLETE
34 ,    34 ,-1.9236538000000003   ,2024-01-27 03:22:13.559877 ,2024-01-27 03:25:14.348459 ,0 days 00:03:00.788582 ,relu                 ,              512 ,              0.4 ,7.290312158486256e-06  ,             1.0  ,      0.95   ,0.02806831701247293    ,                 0.6 ,             10 ,            64 ,tiny            ,0.7499531690488658    ,PRUNED
35 ,    35 ,-4.077680900000001    ,2024-01-27 03:25:14.349459 ,2024-01-27 03:29:59.148416 ,0 days 00:04:44.798957 ,relu                 ,                8 ,              0.4 ,5.96070869401241e-08   ,             0.8  ,      0.999  ,0.09541422290360752    ,                 0.9 ,             10 ,          1024 ,tiny            ,0.6547327682005278    ,PRUNED
36 ,    36 ,1.6694503999999994    ,2024-01-27 03:29:59.150495 ,2024-01-27 03:35:19.434018 ,0 days 00:05:20.283523 ,relu                 ,              128 ,              0.2 ,2.7812163693781e-06    ,             1.0  ,      0.95   ,0.0013655330282361907  ,                 0.5 ,              5 ,           512 ,tiny            ,0.40839615277813923   ,COMPLETE
37 ,    37 ,-10.6657615           ,2024-01-27 03:35:19.435022 ,2024-01-27 03:38:15.158446 ,0 days 00:02:55.723424 ,tanh                 ,              512 ,              0.4 ,2.9209764918706115e-08 ,             0.92 ,      0.999  ,1.1246876413741236e-05 ,                 0.5 ,             10 ,           128 ,medium          ,0.7742016580301014    ,PRUNED
38 ,    38 ,-0.08770859999999989  ,2024-01-27 03:38:15.159451 ,2024-01-27 03:41:32.430814 ,0 days 00:03:17.271363 ,relu                 ,               32 ,              0.2 ,1.1291277399701539e-07 ,             1.0  ,      0.95   ,0.009878554319703685   ,                 2.0 ,             10 ,           128 ,tiny            ,0.5793743849272417    ,PRUNED
39 ,    39 ,-4.126570500000001    ,2024-01-27 03:41:32.431813 ,2024-01-27 03:44:20.383620 ,0 days 00:02:47.951807 ,relu                 ,              512 ,              0.4 ,2.770453958656775e-07  ,             0.98 ,      0.9999 ,0.0029032711722717596  ,                 0.6 ,              5 ,           256 ,tiny            ,0.6906385423794921    ,PRUNED
40 ,    40 ,-0.38395330000000033  ,2024-01-27 03:44:20.384619 ,2024-01-27 03:47:09.656891 ,0 days 00:02:49.272272 ,relu                 ,               64 ,              0.1 ,0.0009694031973879398  ,             0.99 ,      0.99   ,0.0010262726033259     ,                 0.3 ,              1 ,            64 ,medium          ,0.0006944615851378622 ,PRUNED
41 ,    41 ,1.8111106             ,2024-01-27 03:47:09.657892 ,2024-01-27 03:52:52.206513 ,0 days 00:05:42.548621 ,relu                 ,              512 ,              0.4 ,2.2096367109158538e-08 ,             1.0  ,      0.95   ,0.002670367590143554   ,                 0.9 ,             10 ,            64 ,tiny            ,0.7797277322004845    ,COMPLETE
42 ,    42 ,0.039782000000000116  ,2024-01-27 03:52:52.206513 ,2024-01-27 03:55:53.642822 ,0 days 00:03:01.436309 ,relu                 ,              512 ,              0.4 ,2.311624159127609e-08  ,             0.95 ,      0.95   ,0.0071214781903550265  ,                 0.9 ,             10 ,            64 ,tiny            ,0.8541190898295222    ,PRUNED
43 ,    43 ,-10.5674454           ,2024-01-27 03:55:53.643824 ,2024-01-27 03:58:54.936526 ,0 days 00:03:01.292702 ,relu                 ,              512 ,              0.4 ,5.345295755313703e-08  ,             1.0  ,      0.95   ,0.022076419632753242   ,                 0.9 ,             10 ,            64 ,tiny            ,0.7772541026777117    ,PRUNED
44 ,    44 ,-8.3869997            ,2024-01-27 03:58:54.937526 ,2024-01-27 04:01:44.143193 ,0 days 00:02:49.205667 ,relu                 ,              512 ,              0.4 ,5.405300730406006e-07  ,             1.0  ,      0.95   ,0.03810994817513392    ,                 0.5 ,             10 ,          2048 ,tiny            ,0.9406934396584588    ,PRUNED
45 ,    45 ,-2.0571245            ,2024-01-27 04:01:44.144194 ,2024-01-27 04:05:30.122226 ,0 days 00:03:45.978032 ,relu                 ,               16 ,              0.4 ,1.6384595472829376e-08 ,             1.0  ,      0.9    ,0.0026219945673402545  ,                 0.9 ,             10 ,            64 ,tiny            ,0.67968988440514      ,PRUNED
46 ,    46 ,-15.199328699999999   ,2024-01-27 04:05:30.123228 ,2024-01-27 04:10:14.389399 ,0 days 00:04:44.266171 ,tanh                 ,                8 ,              0.4 ,8.935486457677915e-08  ,             0.98 ,      0.99   ,0.0003281024158132731  ,                 0.5 ,             10 ,            64 ,tiny            ,0.5297892509906537    ,PRUNED
47 ,    47 ,-1.9313860000000005   ,2024-01-27 04:10:14.390399 ,2024-01-27 04:13:37.962609 ,0 days 00:03:23.572210 ,relu                 ,              128 ,              0.2 ,3.719257246577435e-08  ,             0.95 ,      0.9999 ,0.0014432870443072264  ,                 0.8 ,              5 ,            16 ,tiny            ,0.8744096499749417    ,PRUNED
48 ,    48 ,-8.4256281            ,2024-01-27 04:13:37.963609 ,2024-01-27 04:18:39.732575 ,0 days 00:05:01.768966 ,relu                 ,              512 ,              0.4 ,1.0179833270188145e-08 ,             0.8  ,      0.995  ,0.012067032676581511   ,                 0.5 ,             10 ,             8 ,medium          ,0.7195264726693581    ,PRUNED
