    ,number ,value                ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_cg_max_steps ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_n_critic_updates ,params_n_steps ,params_net_arch ,params_target_kl ,state
  0 ,     0 ,-6.222159400000001   ,2024-01-27 13:06:22.842908 ,2024-01-27 13:12:42.203807 ,0 days 00:06:19.360899 ,tanh                 ,              256 ,                 30 ,             1.0  ,      0.9999 ,1.1524579678573866e-05 ,                     10 ,           256 ,small           ,           0.02  ,COMPLETE
  1 ,     1 ,2.1145855            ,2024-01-27 13:12:42.204809 ,2024-01-27 13:24:36.670163 ,0 days 00:11:54.465354 ,relu                 ,                8 ,                 30 ,             1.0  ,      0.9    ,0.005149464519272609   ,                     20 ,            32 ,medium          ,           0.005 ,COMPLETE
  2 ,     2 ,-8.3978243           ,2024-01-27 13:24:36.670163 ,2024-01-27 13:31:01.085872 ,0 days 00:06:24.415709 ,relu                 ,              256 ,                  5 ,             0.98 ,      0.9999 ,0.00020978680753251734 ,                      5 ,           256 ,medium          ,           0.001 ,COMPLETE
  3 ,     3 ,0.23054659999999955  ,2024-01-27 13:31:01.085872 ,2024-01-27 13:39:57.082627 ,0 days 00:08:55.996755 ,relu                 ,                8 ,                 20 ,             0.98 ,      0.999  ,0.003729346250707579   ,                     10 ,             8 ,medium          ,           0.05  ,COMPLETE
  4 ,     4 ,-12.782686400000001  ,2024-01-27 13:39:57.083601 ,2024-01-27 13:46:15.025649 ,0 days 00:06:17.942048 ,tanh                 ,              128 ,                 25 ,             0.92 ,      0.95   ,0.0038560707128203866  ,                     10 ,          1024 ,small           ,           0.05  ,COMPLETE
  5 ,     5 ,3.8989841            ,2024-01-27 13:46:15.026647 ,2024-01-27 13:58:09.895326 ,0 days 00:11:54.868679 ,relu                 ,                8 ,                 30 ,             1.0  ,      0.9    ,0.008347709480698136   ,                     20 ,            32 ,medium          ,           0.005 ,COMPLETE
  6 ,     6 ,4.6196362            ,2024-01-27 13:58:09.896333 ,2024-01-27 14:06:15.045532 ,0 days 00:08:05.149199 ,relu                 ,               64 ,                 10 ,             0.8  ,      0.9    ,0.0002467013388528315  ,                     20 ,            16 ,medium          ,           0.005 ,COMPLETE
  7 ,     7 ,0.3260844999999996   ,2024-01-27 14:06:15.046531 ,2024-01-27 14:14:53.045885 ,0 days 00:08:37.999354 ,relu                 ,               64 ,                 10 ,             0.8  ,      0.995  ,0.0002478864896716754  ,                     25 ,            16 ,medium          ,           0.01  ,COMPLETE
  8 ,     8 ,4.6031968999999995   ,2024-01-27 14:14:53.046822 ,2024-01-27 14:21:56.202380 ,0 days 00:07:03.155558 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.98   ,2.6809024120709858e-05 ,                     30 ,            16 ,small           ,           0.1   ,COMPLETE
  9 ,     9 ,3.6586717            ,2024-01-27 14:21:56.203379 ,2024-01-27 14:28:49.705715 ,0 days 00:06:53.502336 ,relu                 ,               64 ,                 10 ,             0.8  ,      0.99   ,0.0008240946416681365  ,                     20 ,           128 ,medium          ,           0.03  ,COMPLETE
 10 ,    10 ,-10.7649074          ,2024-01-27 14:28:49.706714 ,2024-01-27 14:32:09.360249 ,0 days 00:03:19.653535 ,tanh                 ,              512 ,                  5 ,             0.9  ,      0.9    ,6.0819120043710054e-05 ,                      5 ,           512 ,small           ,           0.005 ,PRUNED
 11 ,    11 ,2.4614715            ,2024-01-27 14:32:09.360249 ,2024-01-27 14:39:13.345606 ,0 days 00:07:03.985357 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.98   ,2.403358297078331e-05  ,                     30 ,            16 ,small           ,           0.1   ,COMPLETE
 12 ,    12 ,2.3510628000000002   ,2024-01-27 14:39:13.346588 ,2024-01-27 14:46:17.371335 ,0 days 00:07:04.024747 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.98   ,8.650166940037499e-05  ,                     30 ,            16 ,small           ,           0.1   ,COMPLETE
 13 ,    13 ,-0.5425133000000001  ,2024-01-27 14:46:17.372339 ,2024-01-27 14:49:58.263023 ,0 days 00:03:40.890684 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.98   ,0.0008618271702041251  ,                     30 ,            64 ,small           ,           0.1   ,PRUNED
 14 ,    14 ,-2.1863726000000008  ,2024-01-27 14:49:58.264002 ,2024-01-27 14:53:35.221033 ,0 days 00:03:36.957031 ,relu                 ,               64 ,                 20 ,             0.95 ,      0.995  ,4.8080957920387395e-05 ,                     25 ,          2048 ,medium          ,           0.03  ,PRUNED
 15 ,    15 ,0.2140079999999996   ,2024-01-27 14:53:35.222034 ,2024-01-27 14:57:19.029414 ,0 days 00:03:43.807380 ,tanh                 ,               16 ,                 25 ,             0.8  ,      0.95   ,0.0008644137838881343  ,                     30 ,            16 ,small           ,           0.02  ,PRUNED
 16 ,    16 ,3.8936479            ,2024-01-27 14:57:19.030394 ,2024-01-27 15:04:39.751488 ,0 days 00:07:20.721094 ,tanh                 ,               32 ,                 10 ,             0.92 ,      0.999  ,0.00012212802590231818 ,                     20 ,            16 ,medium          ,           0.001 ,COMPLETE
 17 ,    17 ,-6.154592200000001   ,2024-01-27 15:04:39.752493 ,2024-01-27 15:08:02.237565 ,0 days 00:03:22.485072 ,relu                 ,              128 ,                 10 ,             0.9  ,      0.99   ,2.620711735253871e-05  ,                     20 ,          1024 ,small           ,           0.01  ,PRUNED
 18 ,    18 ,4.6030645            ,2024-01-27 15:08:02.238582 ,2024-01-27 15:17:13.049353 ,0 days 00:09:10.810771 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0004732950030794231  ,                     30 ,             8 ,medium          ,           0.1   ,COMPLETE
 19 ,    19 ,0.9414298000000001   ,2024-01-27 15:17:13.050335 ,2024-01-27 15:20:36.323500 ,0 days 00:03:23.273165 ,relu                 ,               16 ,                 20 ,             0.8  ,      0.98   ,0.0019252403787157334  ,                      5 ,            64 ,small           ,           0.005 ,PRUNED
 20 ,    20 ,-10.5400685          ,2024-01-27 15:20:36.325497 ,2024-01-27 15:24:03.700746 ,0 days 00:03:27.375249 ,relu                 ,              512 ,                 25 ,             0.95 ,      0.98   ,1.0994514946494669e-05 ,                     25 ,          2048 ,medium          ,           0.005 ,PRUNED
 21 ,    21 ,0.18046099999999968  ,2024-01-27 15:24:03.701729 ,2024-01-27 15:28:51.512858 ,0 days 00:04:47.811129 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00044018323997616386 ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
 22 ,    22 ,4.607338             ,2024-01-27 15:28:51.513835 ,2024-01-27 15:38:22.631257 ,0 days 00:09:31.117422 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0005281677829048355  ,                     30 ,             8 ,medium          ,           0.1   ,COMPLETE
 23 ,    23 ,2.857343             ,2024-01-27 15:38:22.632258 ,2024-01-27 15:45:12.522304 ,0 days 00:06:49.890046 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0001364920475899462  ,                     30 ,           128 ,medium          ,           0.1   ,COMPLETE
 24 ,    24 ,0.9398097999999999   ,2024-01-27 15:45:12.523304 ,2024-01-27 15:48:49.128744 ,0 days 00:03:36.605440 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0015416661019474222  ,                     30 ,           512 ,medium          ,           0.1   ,PRUNED
 25 ,    25 ,2.419581             ,2024-01-27 15:48:49.129743 ,2024-01-27 15:53:12.467827 ,0 days 00:04:23.338084 ,tanh                 ,               16 ,                  5 ,             0.95 ,      0.9    ,3.4620069989622595e-05 ,                     20 ,             8 ,medium          ,           0.1   ,PRUNED
 26 ,    26 ,0.2721426            ,2024-01-27 15:53:12.468803 ,2024-01-27 15:56:55.611739 ,0 days 00:03:43.142936 ,tanh                 ,               64 ,                 10 ,             0.8  ,      0.99   ,0.0004211388080972878  ,                     30 ,            16 ,small           ,           0.02  ,PRUNED
 27 ,    27 ,2.4189837999999995   ,2024-01-27 15:56:55.612839 ,2024-01-27 16:01:02.168460 ,0 days 00:04:06.555621 ,tanh                 ,              128 ,                 10 ,             0.92 ,      0.999  ,0.00016436961641823634 ,                     30 ,            16 ,medium          ,           0.05  ,PRUNED
 28 ,    28 ,4.6133658            ,2024-01-27 16:01:02.169490 ,2024-01-27 16:08:39.763968 ,0 days 00:07:37.594478 ,relu                 ,               32 ,                 10 ,             0.9  ,      0.995  ,0.0016371957930697595  ,                     20 ,             8 ,small           ,           0.01  ,COMPLETE
 29 ,    29 ,2.3708054000000005   ,2024-01-27 16:08:39.764952 ,2024-01-27 16:12:39.292369 ,0 days 00:03:59.527417 ,relu                 ,               32 ,                 30 ,             0.9  ,      0.995  ,0.0018465919219052482  ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
 30 ,    30 ,2.251018699999999    ,2024-01-27 16:12:39.293350 ,2024-01-27 16:18:27.076565 ,0 days 00:05:47.783215 ,relu                 ,              256 ,                 20 ,             0.9  ,      0.9999 ,0.0011242531980782762  ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
 31 ,    31 ,-6.628476800000001   ,2024-01-27 16:18:27.077545 ,2024-01-27 16:21:49.909451 ,0 days 00:03:22.831906 ,relu                 ,               32 ,                 10 ,             0.9  ,      0.995  ,1.6129243113722656e-05 ,                     10 ,           256 ,small           ,           0.01  ,PRUNED
 32 ,    32 ,2.4145201            ,2024-01-27 16:21:49.910432 ,2024-01-27 16:25:48.200757 ,0 days 00:03:58.290325 ,relu                 ,               32 ,                 10 ,             1.0  ,      0.995  ,0.0027209689229435864  ,                     20 ,             8 ,small           ,           0.005 ,PRUNED
 33 ,    33 ,4.6179726            ,2024-01-27 16:25:48.200757 ,2024-01-27 16:32:23.748063 ,0 days 00:06:35.547306 ,relu                 ,              256 ,                 30 ,             0.98 ,      0.9999 ,0.0006112871861204128  ,                     20 ,            32 ,small           ,           0.03  ,COMPLETE
 34 ,    34 ,2.4112856999999996   ,2024-01-27 16:32:23.749066 ,2024-01-27 16:35:51.019253 ,0 days 00:03:27.270187 ,relu                 ,              256 ,                 30 ,             0.98 ,      0.9999 ,0.0005342033435488659  ,                     20 ,            32 ,small           ,           0.03  ,PRUNED
 35 ,    35 ,0.14474059999999955  ,2024-01-27 16:35:51.021253 ,2024-01-27 16:39:19.613788 ,0 days 00:03:28.592535 ,relu                 ,              256 ,                 30 ,             0.98 ,      0.9999 ,0.000611010778117138   ,                     20 ,            32 ,small           ,           0.03  ,PRUNED
 36 ,    36 ,2.177234             ,2024-01-27 16:39:19.615792 ,2024-01-27 16:43:07.771196 ,0 days 00:03:48.155404 ,relu                 ,              256 ,                 30 ,             0.98 ,      0.9999 ,0.00027267599899726794 ,                     20 ,            32 ,medium          ,           0.001 ,PRUNED
 37 ,    37 ,-0.1300970000000005  ,2024-01-27 16:43:07.772199 ,2024-01-27 16:47:41.347170 ,0 days 00:04:33.574971 ,relu                 ,                8 ,                 30 ,             0.98 ,      0.95   ,0.006854783734971866   ,                     10 ,           256 ,medium          ,           0.03  ,PRUNED
 38 ,    38 ,-8.5469354           ,2024-01-27 16:47:41.347170 ,2024-01-27 16:51:00.617752 ,0 days 00:03:19.270582 ,relu                 ,              256 ,                 25 ,             1.0  ,      0.9999 ,0.00020445964902472474 ,                      5 ,          1024 ,small           ,           0.05  ,PRUNED
 39 ,    39 ,0.2605763            ,2024-01-27 16:51:00.618732 ,2024-01-27 16:54:51.227426 ,0 days 00:03:50.608694 ,relu                 ,              512 ,                 30 ,             0.8  ,      0.9    ,0.0003344664393451168  ,                     20 ,            32 ,medium          ,           0.01  ,PRUNED
 40 ,    40 ,2.2843429            ,2024-01-27 16:54:51.228401 ,2024-01-27 16:58:49.608232 ,0 days 00:03:58.379831 ,relu                 ,                8 ,                  5 ,             0.98 ,      0.995  ,0.0042027103491515845  ,                     20 ,             8 ,small           ,           0.005 ,PRUNED
 41 ,    41 ,-1.9062801999999994  ,2024-01-27 16:58:49.609212 ,2024-01-27 17:02:28.406338 ,0 days 00:03:38.797126 ,tanh                 ,               64 ,                 10 ,             0.9  ,      0.9    ,0.002765113755705267   ,                     25 ,            16 ,small           ,           0.03  ,PRUNED
 42 ,    42 ,3.8802649000000002   ,2024-01-27 17:02:28.407339 ,2024-01-27 17:09:01.167944 ,0 days 00:06:32.760605 ,relu                 ,               16 ,                 10 ,             0.95 ,      0.98   ,0.001170575294392214   ,                     10 ,           128 ,small           ,           0.02  ,COMPLETE
 43 ,    43 ,4.0535124            ,2024-01-27 17:09:01.168973 ,2024-01-27 17:15:32.036625 ,0 days 00:06:30.867652 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.999  ,8.047920942270063e-05  ,                     20 ,           512 ,small           ,           0.1   ,COMPLETE
 44 ,    44 ,-0.20781800000000042 ,2024-01-27 17:15:32.036625 ,2024-01-27 17:18:51.224121 ,0 days 00:03:19.187496 ,relu                 ,               64 ,                  5 ,             0.8  ,      0.9999 ,0.0012142632826979865  ,                      5 ,            64 ,small           ,           0.001 ,PRUNED
 45 ,    45 ,1.9570245            ,2024-01-27 17:18:51.224121 ,2024-01-27 17:22:33.015185 ,0 days 00:03:41.791064 ,tanh                 ,              128 ,                 10 ,             0.92 ,      0.95   ,0.0007451642642181716  ,                     30 ,            16 ,small           ,           0.005 ,PRUNED
 46 ,    46 ,2.3625655            ,2024-01-27 17:22:33.016212 ,2024-01-27 17:26:01.040324 ,0 days 00:03:28.024112 ,relu                 ,              256 ,                 20 ,             0.95 ,      0.98   ,0.00033505819183920295 ,                     20 ,            32 ,small           ,           0.1   ,PRUNED
 47 ,    47 ,-6.639984200000001   ,2024-01-27 17:26:01.041298 ,2024-01-27 17:30:08.979155 ,0 days 00:04:07.937857 ,tanh                 ,               16 ,                 10 ,             0.98 ,      0.9    ,0.0027116185090341922  ,                     30 ,          2048 ,medium          ,           0.03  ,PRUNED
 48 ,    48 ,0.2568702999999997   ,2024-01-27 17:30:08.980156 ,2024-01-27 17:33:48.062596 ,0 days 00:03:39.082440 ,relu                 ,               32 ,                 25 ,             1.0  ,      0.995  ,1.6961742252502587e-05 ,                     25 ,            16 ,small           ,           0.01  ,PRUNED
 49 ,    49 ,2.4643746999999996   ,2024-01-27 17:33:48.063598 ,2024-01-27 17:38:09.676329 ,0 days 00:04:21.612731 ,tanh                 ,               64 ,                 30 ,             0.9  ,      0.99   ,0.0006784637887092484  ,                     20 ,             8 ,medium          ,           0.05  ,PRUNED
 50 ,    50 ,0.9410283000000002   ,2024-01-27 17:38:09.677310 ,2024-01-27 17:41:29.924167 ,0 days 00:03:20.246857 ,relu                 ,              512 ,                 10 ,             0.8  ,      0.98   ,0.00021537192968453035 ,                     30 ,           256 ,small           ,           0.1   ,PRUNED
 51 ,    51 ,-1.9320728999999996  ,2024-01-27 17:41:29.925193 ,2024-01-27 17:46:16.268264 ,0 days 00:04:46.343071 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0004974500076980503  ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
 52 ,    52 ,3.8131521999999998   ,2024-01-27 17:46:16.270162 ,2024-01-27 17:55:39.629202 ,0 days 00:09:23.359040 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.000951499606536946   ,                     30 ,             8 ,medium          ,           0.1   ,COMPLETE
 53 ,    53 ,3.1876361999999996   ,2024-01-27 17:55:39.629202 ,2024-01-27 18:00:26.295292 ,0 days 00:04:46.666090 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00038577602233811796 ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
 54 ,    54 ,-4.415442700000001   ,2024-01-27 18:00:26.296319 ,2024-01-27 18:04:02.733830 ,0 days 00:03:36.437511 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,9.815214334241833e-05  ,                     30 ,          1024 ,medium          ,           0.005 ,PRUNED
 55 ,    55 ,2.4261713999999994   ,2024-01-27 18:04:02.734812 ,2024-01-27 18:09:22.820955 ,0 days 00:05:20.086143 ,tanh                 ,               16 ,                 10 ,             0.95 ,      0.9    ,0.0017692731251762197  ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
 56 ,    56 ,2.3176560999999998   ,2024-01-27 18:09:22.821934 ,2024-01-27 18:13:00.721053 ,0 days 00:03:37.899119 ,tanh                 ,                8 ,                 10 ,             0.99 ,      0.98   ,5.803242276285617e-05  ,                      5 ,            16 ,medium          ,           0.02  ,PRUNED
 57 ,    57 ,-2.1239282000000004  ,2024-01-27 18:13:00.722035 ,2024-01-27 18:16:33.742781 ,0 days 00:03:33.020746 ,tanh                 ,               64 ,                 20 ,             0.99 ,      0.9    ,0.00016296351595221372 ,                     20 ,           128 ,medium          ,           0.1   ,PRUNED
 58 ,    58 ,-4.4229270000000005  ,2024-01-27 18:16:33.743762 ,2024-01-27 18:19:58.621044 ,0 days 00:03:24.877282 ,relu                 ,              128 ,                  5 ,             0.8  ,      0.995  ,0.0014370418086505623  ,                     30 ,            64 ,small           ,           0.01  ,PRUNED
 59 ,    59 ,-0.3237779000000004  ,2024-01-27 18:19:58.622024 ,2024-01-27 18:23:35.563081 ,0 days 00:03:36.941057 ,tanh                 ,               16 ,                 10 ,             0.92 ,      0.999  ,3.802294924023114e-05  ,                     10 ,           512 ,medium          ,           0.001 ,PRUNED
 60 ,    60 ,-8.3492651           ,2024-01-27 18:23:35.564082 ,2024-01-27 18:27:02.538094 ,0 days 00:03:26.974012 ,relu                 ,               32 ,                 25 ,             0.9  ,      0.99   ,0.0002518255172294513  ,                     20 ,          2048 ,small           ,           0.03  ,PRUNED
 61 ,    61 ,3.8686955            ,2024-01-27 18:27:02.539076 ,2024-01-27 18:33:33.198029 ,0 days 00:06:30.658953 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.999  ,0.00010791586126746142 ,                     20 ,           512 ,small           ,           0.1   ,COMPLETE
 62 ,    62 ,0.9407533000000001   ,2024-01-27 18:33:33.199008 ,2024-01-27 18:36:59.607744 ,0 days 00:03:26.408736 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.999  ,2.0688038800199797e-05 ,                     20 ,           512 ,small           ,           0.1   ,PRUNED
 63 ,    63 ,0.06885049999999984  ,2024-01-27 18:36:59.607744 ,2024-01-27 18:40:26.158285 ,0 days 00:03:26.550541 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.999  ,7.592988681806021e-05  ,                     20 ,           512 ,small           ,           0.1   ,PRUNED
 64 ,    64 ,2.461611             ,2024-01-27 18:40:26.159183 ,2024-01-27 18:44:01.460243 ,0 days 00:03:35.301060 ,tanh                 ,               32 ,                 10 ,             0.95 ,      0.999  ,3.705693865054052e-05  ,                     20 ,            16 ,small           ,           0.1   ,PRUNED
