    ,number ,value                ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_cg_max_steps ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_n_critic_updates ,params_n_steps ,params_net_arch ,params_target_kl ,state
132 ,   132 ,-4.162769500000001   ,2024-01-28 00:20:22.730385 ,2024-01-28 00:24:14.462181 ,0 days 00:03:51.731796 ,tanh                 ,               64 ,                 10 ,             0.98 ,      0.9    ,0.00043485684669763297 ,                     20 ,            16 ,medium          ,           0.1   ,PRUNED
133 ,   133 ,4.613762599999999    ,2024-01-28 00:24:14.463179 ,2024-01-28 00:31:08.307723 ,0 days 00:06:53.844544 ,tanh                 ,               64 ,                 10 ,             0.98 ,      0.9    ,0.00018346577213304428 ,                     20 ,            32 ,medium          ,           0.1   ,COMPLETE
134 ,   134 ,4.4899959            ,2024-01-28 00:31:08.308725 ,2024-01-28 00:38:02.225573 ,0 days 00:06:53.916848 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0001890548559183963  ,                     20 ,            32 ,medium          ,           0.005 ,COMPLETE
135 ,   135 ,2.1003597999999997   ,2024-01-28 00:38:02.226464 ,2024-01-28 00:41:39.632603 ,0 days 00:03:37.406139 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00017702903683274374 ,                     20 ,            32 ,medium          ,           0.005 ,PRUNED
136 ,   136 ,-2.0369380000000006  ,2024-01-28 00:41:39.633602 ,2024-01-28 00:45:17.573860 ,0 days 00:03:37.940258 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00020636684539890386 ,                     20 ,            32 ,medium          ,           0.005 ,PRUNED
137 ,   137 ,4.412522             ,2024-01-28 00:45:17.574836 ,2024-01-28 00:51:57.517975 ,0 days 00:06:39.943139 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00026920437491251053 ,                     30 ,            32 ,small           ,           0.005 ,COMPLETE
138 ,   138 ,4.6151151            ,2024-01-28 00:51:57.518953 ,2024-01-28 01:00:14.375365 ,0 days 00:08:16.856412 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0001501258479935732  ,                     20 ,             8 ,medium          ,           0.005 ,COMPLETE
139 ,   139 ,2.4673243            ,2024-01-28 01:00:14.376342 ,2024-01-28 01:04:35.596167 ,0 days 00:04:21.219825 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00017711928176268477 ,                     20 ,             8 ,medium          ,           0.005 ,PRUNED
140 ,   140 ,4.619965399999999    ,2024-01-28 01:04:35.597167 ,2024-01-28 01:12:30.228315 ,0 days 00:07:54.631148 ,tanh                 ,              128 ,                 10 ,             0.99 ,      0.999  ,0.00011935706270778307 ,                     30 ,             8 ,small           ,           0.005 ,COMPLETE
141 ,   141 ,0.1726115999999994   ,2024-01-28 01:12:30.229315 ,2024-01-28 01:16:36.421940 ,0 days 00:04:06.192625 ,tanh                 ,              128 ,                 10 ,             0.99 ,      0.999  ,0.00014090022649310282 ,                     30 ,             8 ,small           ,           0.005 ,PRUNED
142 ,   142 ,-1.7646691999999995  ,2024-01-28 01:16:36.422913 ,2024-01-28 01:20:42.856118 ,0 days 00:04:06.433205 ,tanh                 ,              128 ,                 10 ,             0.99 ,      0.999  ,0.000106597990136936   ,                     30 ,             8 ,small           ,           0.005 ,PRUNED
143 ,   143 ,-1.9641444           ,2024-01-28 01:20:42.857095 ,2024-01-28 01:24:49.166673 ,0 days 00:04:06.309578 ,tanh                 ,              128 ,                 10 ,             0.99 ,      0.999  ,0.0001263422629589332  ,                     30 ,             8 ,small           ,           0.005 ,PRUNED
144 ,   144 ,-2.1799907000000003  ,2024-01-28 01:24:49.167676 ,2024-01-28 01:28:55.683402 ,0 days 00:04:06.515726 ,tanh                 ,              128 ,                 10 ,             0.99 ,      0.999  ,0.00020106090006946287 ,                     30 ,             8 ,small           ,           0.005 ,PRUNED
145 ,   145 ,4.6150816            ,2024-01-28 01:28:55.683402 ,2024-01-28 01:36:44.652059 ,0 days 00:07:48.968657 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.995  ,0.00015233969449630043 ,                     30 ,             8 ,small           ,           0.005 ,COMPLETE
146 ,   146 ,2.4645373            ,2024-01-28 01:36:44.652059 ,2024-01-28 01:40:52.047637 ,0 days 00:04:07.395578 ,tanh                 ,               64 ,                 30 ,             0.99 ,      0.995  ,0.00015111840660512446 ,                     30 ,             8 ,small           ,           0.005 ,PRUNED
147 ,   147 ,-4.1670876           ,2024-01-28 01:40:52.048532 ,2024-01-28 01:44:57.890987 ,0 days 00:04:05.842455 ,tanh                 ,              256 ,                 10 ,             0.8  ,      0.995  ,0.00022235614478619114 ,                     30 ,             8 ,small           ,           0.005 ,PRUNED
148 ,   148 ,-4.2700506           ,2024-01-28 01:44:57.891959 ,2024-01-28 01:49:03.206235 ,0 days 00:04:05.314276 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.995  ,3.827719227123369e-05  ,                     30 ,             8 ,small           ,           0.001 ,PRUNED
149 ,   149 ,0.22531779999999965  ,2024-01-28 01:49:03.207261 ,2024-01-28 01:53:11.482439 ,0 days 00:04:08.275178 ,tanh                 ,               64 ,                 20 ,             0.95 ,      0.995  ,0.00011790898881915394 ,                     30 ,             8 ,small           ,           0.03  ,PRUNED
150 ,   150 ,0.18422059999999973  ,2024-01-28 01:53:11.483439 ,2024-01-28 01:56:52.015842 ,0 days 00:03:40.532403 ,tanh                 ,               16 ,                 10 ,             0.9  ,      0.98   ,8.674692497134119e-05  ,                     30 ,           256 ,small           ,           0.01  ,PRUNED
151 ,   151 ,3.3560834            ,2024-01-28 01:56:52.016841 ,2024-01-28 02:00:29.826916 ,0 days 00:03:37.810075 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.99   ,0.00017455451285895864 ,                     20 ,            32 ,medium          ,           0.005 ,PRUNED
152 ,   152 ,-2.2463212           ,2024-01-28 02:00:29.826916 ,2024-01-28 02:04:50.121569 ,0 days 00:04:20.294653 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00027922900057149487 ,                     20 ,             8 ,medium          ,           0.005 ,PRUNED
153 ,   153 ,0.004171999999999754 ,2024-01-28 02:04:50.123619 ,2024-01-28 02:08:41.728098 ,0 days 00:03:51.604479 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.95   ,0.00013260007429857147 ,                     20 ,             8 ,small           ,           0.005 ,PRUNED
154 ,   154 ,0.02790699999999955  ,2024-01-28 02:08:41.729102 ,2024-01-28 02:12:07.890900 ,0 days 00:03:26.161798 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.999  ,0.00021056284973455919 ,                      5 ,            32 ,medium          ,           0.005 ,PRUNED
155 ,   155 ,3.8395604            ,2024-01-28 02:12:07.890900 ,2024-01-28 02:15:28.352177 ,0 days 00:03:20.461277 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,2.6982922136571885e-05 ,                     10 ,           128 ,small           ,           0.02  ,PRUNED
156 ,   156 ,1.627235             ,2024-01-28 02:15:28.353158 ,2024-01-28 02:19:03.735720 ,0 days 00:03:35.382562 ,tanh                 ,               64 ,                 10 ,             0.8  ,      0.995  ,5.2141157745992885e-05 ,                     30 ,            64 ,medium          ,           0.005 ,PRUNED
157 ,   157 ,4.6188868            ,2024-01-28 02:19:03.736722 ,2024-01-28 02:27:31.009975 ,0 days 00:08:27.273253 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.9    ,0.0002465652394155017  ,                     20 ,             8 ,medium          ,           0.01  ,COMPLETE
158 ,   158 ,-2.0031592000000003  ,2024-01-28 02:27:31.010982 ,2024-01-28 02:31:39.297697 ,0 days 00:04:08.286715 ,tanh                 ,              512 ,                 30 ,             0.95 ,      0.9    ,0.0002552205644516534  ,                     30 ,             8 ,small           ,           0.01  ,PRUNED
159 ,   159 ,4.6164089            ,2024-01-28 02:31:39.297697 ,2024-01-28 02:40:09.686002 ,0 days 00:08:30.388305 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.000342300259803262   ,                     20 ,             8 ,medium          ,           0.01  ,COMPLETE
160 ,   160 ,4.6170313            ,2024-01-28 02:40:09.687027 ,2024-01-28 02:49:05.259798 ,0 days 00:08:55.572771 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.00032799229345807716 ,                     25 ,             8 ,medium          ,           0.01  ,COMPLETE
161 ,   161 ,4.298852699999999    ,2024-01-28 02:49:05.259798 ,2024-01-28 02:53:45.573020 ,0 days 00:04:40.313222 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.0003433225865509608  ,                     25 ,             8 ,medium          ,           0.01  ,PRUNED
162 ,   162 ,0.22415429999999956  ,2024-01-28 02:53:45.573020 ,2024-01-28 02:58:24.780849 ,0 days 00:04:39.207829 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.00030494302894395917 ,                     25 ,             8 ,medium          ,           0.01  ,PRUNED
163 ,   163 ,0.06825799999999971  ,2024-01-28 02:58:24.781878 ,2024-01-28 03:03:03.950449 ,0 days 00:04:39.168571 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.00022653716570793567 ,                     25 ,             8 ,medium          ,           0.01  ,PRUNED
164 ,   164 ,4.4623227            ,2024-01-28 03:03:03.951460 ,2024-01-28 03:12:00.684192 ,0 days 00:08:56.732732 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.0003202315438376361  ,                     25 ,             8 ,medium          ,           0.01  ,COMPLETE
165 ,   165 ,4.605836299999999    ,2024-01-28 03:12:00.686348 ,2024-01-28 03:20:31.747910 ,0 days 00:08:31.061562 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.0002440489899519626  ,                     20 ,             8 ,medium          ,           0.01  ,COMPLETE
166 ,   166 ,-0.2590148999999998  ,2024-01-28 03:20:31.748893 ,2024-01-28 03:24:57.368296 ,0 days 00:04:25.619403 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.0002444373766545052  ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
167 ,   167 ,2.4184189            ,2024-01-28 03:24:57.368296 ,2024-01-28 03:28:49.943949 ,0 days 00:03:52.575653 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.00014943047213058618 ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
168 ,   168 ,2.4157401            ,2024-01-28 03:28:49.943949 ,2024-01-28 03:33:17.085576 ,0 days 00:04:27.141627 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.0002791597653089696  ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
169 ,   169 ,0.1740966999999996   ,2024-01-28 03:33:17.086551 ,2024-01-28 03:38:01.927230 ,0 days 00:04:44.840679 ,tanh                 ,              512 ,                 30 ,             1.0  ,      0.98   ,0.002162716273944097   ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
170 ,   170 ,4.612561200000001    ,2024-01-28 03:38:01.928231 ,2024-01-28 03:45:25.524464 ,0 days 00:07:23.596233 ,tanh                 ,              512 ,                 30 ,             0.8  ,      0.98   ,0.000167089726385702   ,                     20 ,             8 ,small           ,           0.01  ,COMPLETE
171 ,   171 ,-1.8568198000000007  ,2024-01-28 03:45:25.526483 ,2024-01-28 03:49:19.129826 ,0 days 00:03:53.603343 ,tanh                 ,              512 ,                 30 ,             0.8  ,      0.98   ,0.00015862969266964826 ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
172 ,   172 ,2.4664103            ,2024-01-28 03:49:19.130800 ,2024-01-28 03:53:12.494282 ,0 days 00:03:53.363482 ,tanh                 ,              512 ,                 30 ,             0.8  ,      0.98   ,0.00018771289265201454 ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
173 ,   173 ,-2.108696            ,2024-01-28 03:53:12.495309 ,2024-01-28 03:57:06.543010 ,0 days 00:03:54.047701 ,tanh                 ,              512 ,                 30 ,             0.8  ,      0.98   ,0.00023546932346314028 ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
174 ,   174 ,-6.388377200000002   ,2024-01-28 03:57:06.544014 ,2024-01-28 04:00:26.374019 ,0 days 00:03:19.830005 ,tanh                 ,              512 ,                 30 ,             0.8  ,      0.98   ,0.00027273170773919897 ,                     20 ,          2048 ,small           ,           0.01  ,PRUNED
175 ,   175 ,-2.0056339000000007  ,2024-01-28 04:00:26.375002 ,2024-01-28 04:04:19.593394 ,0 days 00:03:53.218392 ,tanh                 ,              512 ,                 30 ,             0.95 ,      0.98   ,0.00010442762807438743 ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
176 ,   176 ,-1.9616161000000005  ,2024-01-28 04:04:19.594426 ,2024-01-28 04:08:45.253183 ,0 days 00:04:25.658757 ,tanh                 ,              512 ,                 30 ,             0.9  ,      0.98   ,0.000379439783526201   ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
177 ,   177 ,0.2038173999999997   ,2024-01-28 04:08:45.254183 ,2024-01-28 04:12:47.189312 ,0 days 00:04:01.935129 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.00017496186239293688 ,                     25 ,             8 ,small           ,           0.01  ,PRUNED
178 ,   178 ,-6.2386962           ,2024-01-28 04:12:47.190209 ,2024-01-28 04:16:14.023027 ,0 days 00:03:26.832818 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.995  ,0.00021330594838081993 ,                     20 ,           512 ,medium          ,           0.01  ,PRUNED
179 ,   179 ,0.22721329999999967  ,2024-01-28 04:16:14.023998 ,2024-01-28 04:20:07.736776 ,0 days 00:03:53.712778 ,tanh                 ,              128 ,                 30 ,             0.95 ,      0.9999 ,0.00013889603280055115 ,                     20 ,             8 ,small           ,           0.01  ,PRUNED
180 ,   180 ,4.6225504            ,2024-01-28 04:20:07.737758 ,2024-01-28 04:28:36.826619 ,0 days 00:08:29.088861 ,tanh                 ,              256 ,                 30 ,             0.8  ,      0.98   ,0.0002541418949919178  ,                     20 ,             8 ,medium          ,           0.03  ,COMPLETE
181 ,   181 ,1.9500484999999999   ,2024-01-28 04:28:36.827617 ,2024-01-28 04:33:18.325426 ,0 days 00:04:41.497809 ,tanh                 ,              256 ,                 30 ,             0.8  ,      0.98   ,0.0003260554769214427  ,                     20 ,             8 ,medium          ,           0.03  ,PRUNED
182 ,   182 ,2.4254878            ,2024-01-28 04:33:18.326436 ,2024-01-28 04:37:46.166069 ,0 days 00:04:27.839633 ,tanh                 ,              256 ,                 30 ,             0.8  ,      0.98   ,0.00023387898121108553 ,                     20 ,             8 ,medium          ,           0.03  ,PRUNED
183 ,   183 ,2.4167987999999996   ,2024-01-28 04:37:46.167070 ,2024-01-28 04:42:09.729025 ,0 days 00:04:23.561955 ,tanh                 ,              256 ,                 30 ,             0.8  ,      0.98   ,0.00019860725019697949 ,                     20 ,             8 ,medium          ,           0.03  ,PRUNED
184 ,   184 ,-4.126196599999999   ,2024-01-28 04:42:09.730005 ,2024-01-28 04:46:34.152735 ,0 days 00:04:24.422730 ,tanh                 ,              256 ,                 30 ,             0.8  ,      0.98   ,0.00027392088185180564 ,                     20 ,             8 ,medium          ,           0.03  ,PRUNED
185 ,   185 ,2.421418100000001    ,2024-01-28 04:46:34.153812 ,2024-01-28 04:51:02.781147 ,0 days 00:04:28.627335 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.98   ,0.0012207307165357445  ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
186 ,   186 ,2.4250977            ,2024-01-28 04:51:02.782128 ,2024-01-28 04:55:27.505496 ,0 days 00:04:24.723368 ,tanh                 ,               32 ,                 30 ,             0.8  ,      0.9999 ,0.0003975051894438931  ,                     20 ,             8 ,medium          ,           0.01  ,PRUNED
187 ,   187 ,-2.2300234000000008  ,2024-01-28 04:55:27.506473 ,2024-01-28 04:59:19.437425 ,0 days 00:03:51.930952 ,tanh                 ,               16 ,                 25 ,             0.99 ,      0.99   ,0.00011553810516395799 ,                     20 ,             8 ,small           ,           0.001 ,PRUNED
188 ,   188 ,-0.27909879999999976 ,2024-01-28 04:59:19.438426 ,2024-01-28 05:02:44.302265 ,0 days 00:03:24.863839 ,tanh                 ,              256 ,                 30 ,             0.95 ,      0.995  ,0.00016055176521763125 ,                      5 ,           256 ,medium          ,           0.01  ,PRUNED
189 ,   189 ,-10.620850800000003  ,2024-01-28 05:02:44.303209 ,2024-01-28 05:06:04.258796 ,0 days 00:03:19.955587 ,tanh                 ,              512 ,                 30 ,             0.99 ,      0.95   ,0.00030396649521462926 ,                     20 ,          1024 ,small           ,           0.03  ,PRUNED
190 ,   190 ,0.3280283999999997   ,2024-01-28 05:06:04.259824 ,2024-01-28 05:10:03.689299 ,0 days 00:03:59.429475 ,tanh                 ,              128 ,                 20 ,             0.9  ,      0.9    ,0.0002509583584393207  ,                     10 ,             8 ,medium          ,           0.01  ,PRUNED
191 ,   191 ,4.4636802            ,2024-01-28 05:10:03.690193 ,2024-01-28 05:19:13.432287 ,0 days 00:09:09.742094 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0003657138965184302  ,                     30 ,             8 ,medium          ,           0.1   ,COMPLETE
192 ,   192 ,2.4168776            ,2024-01-28 05:19:13.433266 ,2024-01-28 05:24:00.690004 ,0 days 00:04:47.256738 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.000451317250217087   ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
193 ,   193 ,2.4624446            ,2024-01-28 05:24:00.691034 ,2024-01-28 05:28:47.303485 ,0 days 00:04:46.612451 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.00033011218485658243 ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
194 ,   194 ,1.3928136000000002   ,2024-01-28 05:28:47.304469 ,2024-01-28 05:33:34.536502 ,0 days 00:04:47.232033 ,tanh                 ,               64 ,                 10 ,             0.99 ,      0.9    ,0.0005400920352766517  ,                     30 ,             8 ,medium          ,           0.1   ,PRUNED
195 ,   195 ,0.30538520000000036  ,2024-01-28 05:33:34.537485 ,2024-01-28 05:37:55.855087 ,0 days 00:04:21.317602 ,tanh                 ,               16 ,                 10 ,             0.8  ,      0.9999 ,0.0006733312095342818  ,                     20 ,             8 ,medium          ,           0.1   ,PRUNED
196 ,   196 ,2.0887688000000004   ,2024-01-28 05:37:55.856087 ,2024-01-28 05:41:25.688457 ,0 days 00:03:29.832370 ,tanh                 ,               32 ,                 10 ,             0.99 ,      0.9    ,3.3045672275267464e-05 ,                     30 ,           128 ,small           ,           0.03  ,PRUNED
197 ,   197 ,4.518355199999999    ,2024-01-28 05:41:25.689430 ,2024-01-28 05:48:14.484550 ,0 days 00:06:48.795120 ,tanh                 ,               64 ,                 30 ,             0.95 ,      0.98   ,0.0001990161192325799  ,                     20 ,            64 ,medium          ,           0.01  ,COMPLETE
198 ,   198 ,2.2452087            ,2024-01-28 05:48:14.484550 ,2024-01-28 05:52:13.739982 ,0 days 00:03:59.255432 ,tanh                 ,              512 ,                 10 ,             0.99 ,      0.9    ,4.157568380321632e-05  ,                     25 ,             8 ,small           ,           0.1   ,PRUNED
199 ,   199 ,2.4257938            ,2024-01-28 05:52:13.740980 ,2024-01-28 05:57:30.891319 ,0 days 00:05:17.150339 ,relu                 ,               64 ,                 20 ,             0.99 ,      0.995  ,1.8980835960968713e-05 ,                     30 ,             8 ,medium          ,           0.005 ,PRUNED
